"","lng","lat"
"200",-0.174854,51.494202
"201",-0.218297,51.517981
"202",-0.21173,51.520039
"203",-0.157067,51.492306
"204",-0.162659,51.500127
"205",-0.173782,51.495804
"206",-0.200555,51.492711
"207",-0.184331,51.484098
"208",-0.179134,51.495258
"209",-0.214861,51.517389
"210",-0.216407,51.518402
"211",-0.20517,51.50726
"212",-0.186925,51.502213
"213",-0.187321,51.492238
"214",-0.175768,51.489361
"215",-0.171129,51.486501
"216",-0.161759,51.501012
"217",-0.152888,51.485226
"218",-0.150127,51.485812
"219",-0.175821,51.484416
"220",-0.179175,51.486986
"221",-0.212538,51.52149
"222",-0.161165,51.501452
"223",-0.181114,51.48171
"224",-0.173382,51.494989
"225",-0.170697,51.490091
"226",-0.205872,51.50772
"227",-0.162041,51.490405
"228",-0.154902,51.488854
"229",-0.205256,51.516074
"230",-0.215564,51.51785
"231",-0.207044,51.496228
"232",-0.188506,51.502328
"233",-0.199159,51.498895
"234",-0.209149,51.516043
"235",-0.193318,51.500873
"236",-0.184211,51.501632
"237",-0.156898,51.492932
"238",-0.166338,51.498206
"239",-0.191404,51.501923
"240",-0.215377,51.5263
"241",-0.187403,51.490171
"242",-0.17259,51.485984
"243",-0.174121,51.501745
"244",-0.216407,51.518402
"245",-0.210648,51.518224
"246",-0.193466,51.500785
"247",-0.185212,51.501827
"248",-0.187842,51.489998
"249",-0.190721,51.490042
"250",-0.204561,51.497089
"251",-0.191006,51.490136
"252",-0.210508,51.518132
"253",-0.198341,51.508684
"254",-0.175965,51.484418
"255",-0.17707,51.485604
"256",-0.203814,51.508768
"257",-0.21173,51.520039
"258",-0.215788,51.504724
"259",-0.193878,51.504928
"260",-0.177247,51.488395
"261",-0.167415,51.48932
"262",-0.195643,51.500369
"263",-0.204084,51.509222
"264",-0.18961,51.492633
"265",-0.212208,51.526251
"266",-0.194419,51.505836
"267",-0.201702,51.522134
"268",-0.162927,51.48988
"269",-0.173172,51.482216
"270",-0.220394,51.515945
"271",-0.185519,51.483217
"272",-0.211867,51.520221
"273",-0.194664,51.506919
"274",-0.170618,51.488471
"275",-0.201558,51.522132
"276",-0.150541,51.486268
"277",-0.175965,51.484418
"278",-0.215788,51.504724
"279",-0.201949,51.493902
"280",-0.166309,51.498925
"281",-0.195616,51.490117
"282",-0.197438,51.509659
"283",-0.226723,51.519997
"284",-0.211783,51.518691
"285",-0.200508,51.508537
"286",-0.176955,51.48848
"287",-0.191484,51.488975
"288",-0.19689,51.508931
"289",-0.179316,51.487078
"290",-0.175688,51.484144
"291",-0.204439,51.507518
"292",-0.177024,51.490369
"293",-0.206549,51.512497
"294",-0.174397,51.494825
"295",-0.173309,51.485995
"296",-0.159261,51.484337
"297",-0.188092,51.494588
"298",-0.173689,51.501738
"299",-0.215781,51.508591
"300",-0.21542,51.517847
"301",-0.17975,51.497876
"302",-0.192506,51.488631
"303",-0.19859,51.498706
"304",-0.215901,51.527656
"305",-0.172241,51.494701
"306",-0.20529,51.522549
"307",-0.163537,51.499781
"308",-0.173464,51.482131
"309",-0.161304,51.490843
"310",-0.194421,51.509433
"311",-0.16337,51.489617
"312",-0.226157,51.519719
"313",-0.15129,51.48556
"314",-0.180236,51.482056
"315",-0.177112,51.480929
"316",-0.157521,51.491773
"317",-0.174054,51.485377
"318",-0.198432,51.499063
"319",-0.183978,51.492995
"320",-0.207602,51.496686
"321",-0.158496,51.492598
"322",-0.170834,51.486676
"323",-0.198655,51.493401
"324",-0.173468,51.485638
"325",-0.175821,51.484416
"326",-0.213881,51.524029
"327",-0.209152,51.515953
"328",-0.179267,51.49553
"329",-0.183032,51.495049
"330",-0.196014,51.487336
"331",-0.209149,51.516043
"332",-0.215244,51.507593
"333",-0.15802,51.497267
"334",-0.169743,51.488727
"335",-0.180471,51.501484
"336",-0.212459,51.501436
"337",-0.188938,51.502334
"338",-0.220436,51.514866
"339",-0.206355,51.517439
"340",-0.177586,51.494335
"341",-0.190314,51.489406
"342",-0.193649,51.492515
"343",-0.176045,51.493232
"344",-0.184272,51.478342
"345",-0.210093,51.517676
"346",-0.166425,51.492452
"347",-0.18578,51.480254
"348",-0.22244,51.52263
"349",-0.192365,51.495823
"350",-0.17319,51.481767
"351",-0.185314,51.484743
"352",-0.181827,51.485498
"353",-0.19265,51.488633
"354",-0.195136,51.487682
"355",-0.168401,51.497069
"356",-0.163752,51.483688
"357",-0.197673,51.511012
"358",-0.195582,51.494613
"359",-0.169293,51.496364
"360",-0.1641,51.489359
"361",-0.198724,51.498978
"362",-0.168966,51.493751
"363",-0.196181,51.490396
"364",-0.190532,51.502089
"365",-0.169121,51.493484
"366",-0.18578,51.480254
"367",-0.208464,51.515134
"368",-0.167174,51.488148
"369",-0.194484,51.500531
"370",-0.184914,51.494808
"371",-0.160578,51.501713
"372",-0.195302,51.494429
"373",-0.206313,51.496486
"374",-0.206022,51.496572
